,Title,Type,Director,Actors,Release,Genre,Runtime,Language,Country,Rating,IMDb,RottenTomatoes,Metacritic,Platform
47,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Kôji Tsujitani']",28 Dec 2004,"['Action', 'Animation', 'Comedy']",99,"['Japanese', 'English']",Japan,Not Rated,7.5,,,Netflix
48,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Kôji Tsujitani']",01 May 2006,"['Animation', 'Action', 'Adventure']",99,Japanese,Japan,Not Rated,7.7,,,Netflix
49,Inuyasha the Movie 4: Fire on the Mystic Island,Movie,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Kôji Tsujitani']",20 Jul 2006,"['Animation', 'Action', 'Adventure']",89,Japanese,Japan,Not Rated,7.3,,,Netflix
50,Inuyasha the Movie: Affections Touching Across Time,Movie,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Kôji Tsujitani']",25 May 2005,"['Animation', 'Action', 'Adventure']",100,Japanese,Japan,Not Rated,7.3,,,Netflix
51,Nailed It,Movie,Adele Pham,,26 Oct 2018,Documentary,60,English,USA,Not Rated,7.3,,,Netflix
52,Naruto Shippuden the Movie: Blood Prison,Movie,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Rikiya Koyama']",18 Feb 2014,"['Animation', 'Action', 'Mystery']",108,Japanese,Japan,TV-14,7.2,,,Netflix
53,Naruto Shippuden: The Movie - Bonds,Movie,Hajime Kamegaki,"['Junko Takeuchi', 'Chie Nakamura', 'Noriaki Sugiyama']",25 Oct 2011,"['Animation', 'Action', 'Fantasy']",98,Japanese,Japan,TV-14,7.0,,,Netflix
54,Naruto Shippûden the Movie: The Will of Fire,Movie,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Kazuhiko Inoue', 'Satoshi Hino', 'Showtaro Morikubo', 'Kentaro Ito', 'Ryoka Yuzuki', 'Kohsuke Toriumi', 'Nana Mizuki', 'Shinji Kawada', 'Yoichi Masukawa', 'Koichi Tochika', 'Yukari Tamura']",2009,"['Action & Adventure', 'Anime Features', 'International Movies']",96,,Japan,TV-PG,,,,Netflix
55,Naruto Shippuden the Movie: Blood Prison,Movie,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Rikiya Koyama']",18 Feb 2014,"['Animation', 'Action', 'Mystery']",108,Japanese,Japan,TV-14,7.2,,,Netflix
56,Naruto Shippuden: The Movie: The Lost Tower,Movie,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Satoshi Hino', 'Rikiya Koyama', 'Nobuaki Fukuda', 'Kenji Hamada', 'Keiko Nemoto', 'Saori Hayami', 'Yumi Toma', 'Yuko Kobayashi', 'Fujiko Takimoto', 'Mutsumi Tamura', 'Mayuki Makiguchi', 'Toshiyuki Morikawa']",2010,"['Action & Adventure', 'Anime Features', 'International Movies']",85,,Japan,TV-14,,,,Netflix
57,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Hirotsugu Kawasaki,"['Junko Takeuchi', 'Shôtarô Morikubo', 'Chie Nakamura']",06 Aug 2005,"['Animation', 'Action', 'Adventure']",97,Japanese,Japan,TV-14,6.5,,,Netflix
58,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Toshiyuki Tsuru,"['Junko Takeuchi', 'Chie Nakamura', 'Yôichi Masukawa']",08 Nov 2008,"['Animation', 'Action', 'Adventure']",95,Japanese,Japan,TV-14,6.5,,,Netflix
59,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Tensai Okamura,"['Junko Takeuchi', 'Chie Nakamura', 'Noriaki Sugiyama']",06 Jun 2007,"['Animation', 'Action', 'Adventure']",82,Japanese,Japan,TV-14,6.7,,,Netflix
60,Nightbooks,Movie,David Yarovesky,"['Winslow Fegley', 'Lidya Jewett', 'Krysten Ritter']",15 Sep 2021,"['Family', 'Fantasy', 'Horror']",103,English,United States,TV-PG,5.8,87.0,65.0,Netflix
61,Numberblocks,TV Show,,"['Beth Chalmers', 'Teresa Gallagher', 'David Holt']",23 Jan 2017,Animation,5,English,United Kingdom,TV-Y,8.1,,,Netflix
62,Saved by the Bell,TV Show,,"['Mark-Paul Gosselaar', 'Mario Lopez', 'Dustin Diamond']",20 Aug 1989,"['Comedy', 'Family', 'Romance']",4,English,United States,TV-PG,7.0,,,Netflix
63,Schumacher,Movie,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","['Ross Brawn', 'Flavio Briatore', 'Luca Cordero di Montezemolo']",15 Sep 2021,"['Documentary', 'Biography', 'Sport']",112,"['German', 'English']",Germany,12,7.5,54.0,,Netflix
64,Stories by Rabindranath Tagore,TV Show,,"['Bhanu Uday', 'Atul Srivastava', 'Radhika Apte']",06 Jul 2015,Drama,1,"['Hindi', 'Bengali']",India,,8.8,,,Netflix
65,Too Hot to Handle: Latino,TV Show,,"['Honey Lauren', 'Itatí Cantoral', 'Caro Mendoza']",15 Sep 2021,"['Game-Show', 'Reality TV', 'Romance']",1,Spanish,"['Mexico', 'Spain']",TV-MA,,,,Netflix
66,A StoryBots Space Adventure,Movie,"David A. Vargas, Jason Reisig","['Fred Tatasciore', 'Erin Fitzgerald', 'Evan Michael Lee']",09 Nov 2021,"['Animation', 'Short', 'Adventure']",12,English,United States,TV-Y,,,,Netflix
67,Jack Whitehall: Travels with My Father,TV Show,,"['Jack Whitehall', 'Michael Whitehall', 'Hilary Whitehall']",22 Sep 2017,"['Documentary', 'Comedy']",5,English,United Kingdom,TV-MA,7.6,,,Netflix
68,King of Boys,Movie,Kemi Adetiba,"['Sola Sobowale', 'Remilekun Reminisce Safaru', 'Adesua Etomi-Wellington']",26 Oct 2018,"['Crime', 'Drama']",169,"['Yoruba', 'English', 'Ibo', 'Hausa']",Nigeria,TV-MA,6.0,,,Netflix
69,The World's Most Amazing Vacation Rentals,TV Show,,"['Megan Batoon', 'Luis D. Ortiz', 'Jo Franco']",18 Jun 2021,Reality TV,2,English,United States,TV-PG,6.7,,,Netflix
70,You vs. Wild: Out Cold,Movie,Ben Simms,Bear Grylls,14 Sep 2021,"['Short', 'Adventure']",25,English,United States,TV-G,5.4,,,Netflix
71,Yowamushi Pedal,TV Show,,"['Daiki Yamashita', 'Kôsuke Toriumi', 'Jun Fukushima']",07 Oct 2013,"['Animation', 'Comedy', 'Drama']",4,Japanese,Japan,,7.8,,,Netflix
72,Little Singham - Black Shadow,Movie,Prakash Satam,"['Sumriddhi Shukla', 'Jigna Bharadwaj', 'Sonal Kaushal', 'Neshma Chemburkar', 'Ganesh Divekar', 'Annamaya Verma', 'Anamay Verma', 'Manoj Pandey']",2021,"['Children & Family Movies', 'Comedy']",48,,,TV-Y7,,,,Netflix
73,Tughlaq Durbar,Movie,Delhi Prasad Deenadayal,"['Vijay Sethupathi', 'Raashi Khanna', 'Manjima Mohan']",10 Sep 2021,"['Comedy', 'Drama', 'Thriller']",145,Tamil,India,,5.4,,,Netflix
74,Tughlaq Durbar (Telugu),Movie,Delhiprasad Deenadayalan,"['Vijay Sethupathi', 'Parthiban', 'Raashi Khanna']",2021,"['Comedy', 'Drama', 'International Movies']",145,,,TV-14,,,,Netflix
75,Firedrake the Silver Dragon,Movie,Tomer Eshed,"['Thomas Brodie-Sangster', 'Felicity Jones', 'Freddie Highmore', 'Patrick Stewart', 'Meera Syal', 'Sanjeev Bhaskar', 'Nonso Anozie']",2021,Children & Family Movies,93,,,TV-Y7,,,,Netflix
76,Kate,Movie,Cedric Nicolas-Troyan,"['Mary Elizabeth Winstead', 'Woody Harrelson', 'Miku Patricia Martineau']",10 Sep 2021,"['Action', 'Adventure', 'Crime']",106,"['English', 'Japanese']",United States,R,6.2,45.0,47.0,Netflix
77,Lucifer,TV Show,,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro']",25 Jan 2016,"['Crime', 'Drama', 'Fantasy']",6,English,United States,TV-14,8.1,,,Netflix
78,Metal Shop Masters,TV Show,,"['Jo Koy', 'Rae Ripple', 'Stephanie Hoffman']",10 Sep 2021,"['Game-Show', 'Reality TV']",1,English,United States,TV-MA,5.5,,,Netflix
79,Omo Ghetto: The Saga,Movie,"Funke Akindele, Jjc Skillz","['Yewande Adebayo', 'Austin Adugbe', 'Mercy Aigbe']",25 Dec 2020,"['Action', 'Adventure', 'Comedy']",110,"['English', 'Yoruba', 'Ibo', 'Hausa']",Nigeria,,7.3,,,Netflix
80,Prey,Movie,Darrell Roodt,"['Bridget Moynahan', 'Peter Weller', 'Carly Schroeder']",12 Apr 2007,"['Adventure', 'Drama', 'Horror']",92,English,South Africa,TV-MA,4.7,17.0,,Netflix
81,Blood Brothers: Malcolm X & Muhammad Ali,Movie,Marcus A. Clarke,"['Ilyasah Shabazz', 'Rahman Ali', 'Cornel West']",09 Sep 2021,"['Documentary', 'Biography', 'History']",95,English,United States,PG-13,6.8,94.0,69.0,Netflix
82,Paradise Hills,Movie,Alice Waddington,"['Emma Roberts', 'Danielle Macdonald', 'Awkwafina']",25 Oct 2019,"['Fantasy', 'Sci-Fi', 'Thriller']",95,English,"['Spain', 'United States']",TV-14,5.4,67.0,49.0,Netflix
83,The Women and the Murderer,Movie,"Mona Achache, Patricia Tourancheau","['Anne Gautier', 'Hélène Frinking', 'Agnès Nijkamp']",09 Sep 2021,"['Documentary', 'Crime']",92,French,France,TV-14,6.4,,,Netflix
84,Into the Night,TV Show,,"['Pauline Etienne', 'Laurent Capelluto', 'Mehmet Kurtulus']",01 May 2020,"['Drama', 'Sci-Fi', 'Thriller']",2,"['French', 'Flemish', 'English', 'Italian', 'Turkish', 'Arabic', 'Russian', 'Bulgarian', 'Mandarin', 'Polish']",Belgium,TV-MA,7.1,,,Netflix
85,JJ+E,Movie,Alexis Almström,"['Mustapha Aarab', 'Elsa Öhrn', 'Jonay Pineda Skallak']",08 Sep 2021,"['Drama', 'Romance']",90,Swedish,Sweden,TV-14,5.3,,,Netflix
86,Show Dogs,Movie,Raja Gosnell,"['Will Arnett', 'Ludacris', 'Natasha Lyonne']",18 May 2018,"['Adventure', 'Comedy', 'Crime']",92,English,"['United Kingdom', 'United States']",Unrated,3.9,16.0,31.0,Netflix
87,The Circle,Movie,James Ponsoldt,"['Emma Watson', 'Tom Hanks', 'John Boyega']",28 Apr 2017,"['Drama', 'Sci-Fi', 'Thriller']",110,English,"['United Arab Emirates', 'United States', 'France']",PG-13,5.4,16.0,43.0,Netflix
88,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,Stephen Kijak,"['Lynyrd Skynyrd', 'Ronnie Van Zant', 'Gary Rossington']",13 Mar 2018,"['Documentary', 'Biography', 'Music']",97,English,United States,TV-14,7.9,100.0,,Netflix
89,Kid Cosmic,TV Show,,"['Amanda Céline Miller', 'Lily Rose Silver', 'Keith Ferguson']",02 Feb 2021,"['Animation', 'Short', 'Action']",3,,United States,TV-Y7,7.9,,,Netflix
90,Octonauts: Above & Beyond,TV Show,,"['Jessica Rookeward', 'Antonio Aakeel', 'Chipo Chung']",07 Sep 2021,"['Animation', 'Family']",1,English,United Kingdom,TV-Y,7.3,,,Netflix
91,On the Verge,TV Show,,"['Julie Delpy', 'Elisabeth Shue', 'Sarah Jones']",07 Sep 2021,Comedy,1,English,"['France', 'United States']",TV-14,6.5,,,Netflix
92,Tobot Galaxy Detectives,TV Show,,"['Travis Turner', 'Austin A.J. Abell', 'Cole Howard']",28 May 2020,Animation,2,"['English', 'Korean']",South Korea,,,,,Netflix
93,Untold: Breaking Point,Movie,"Chapman Way, Maclain Way","['Mardy Fish', ""Kevin O'Connor"", 'Tom Fish']",07 Sep 2021,"['Documentary', 'Sport']",68,English,United States,TV-MA,7.6,,,Netflix
94,Countdown: Inspiration4 Mission to Space,TV Show,,"['Sian Proctor', 'Hayley Arceneaux', 'Jared Isaacman']",06 Sep 2021,Documentary,1,English,United States,TV-14,8.0,,,Netflix
95,Shadow Parties,Movie,Yemi Amodu,"['Toyin Abraham', 'Toyin Adegbola', 'Ayanfe Adekunle']",06 Sep 2021,Action,116,,,,5.2,,,Netflix
96,"Tayo, the Little Bus",TV Show,,"['Jul Kohler', 'Patricia Kalis', 'Aramis Merlin']",23 Aug 2010,"['Animation', 'Comedy', 'Family']",5,"['Indonesian', 'Japanese', 'Korean', 'English']",South Korea,,5.4,,,Netflix
97,Angamaly Diaries,Movie,Lijo Jose Pellissery,"['Antony Varghese', 'Reshma Rajan', 'Binny Rinky Benjamin']",03 Mar 2017,"['Action', 'Comedy', 'Thriller']",132,Malayalam,India,Not Rated,8.0,,,Netflix
98,Bunk'd,TV Show,,"['Miranda May', 'Mallory James Mahoney', 'Raphael Alejandro']",31 Jul 2015,"['Comedy', 'Drama', 'Family']",6,English,United States,TV-G,5.4,,,Netflix
99,A Champion Heart,Movie,David de Vos,"['Mandy Grace', 'Devan Key', 'Donna Rusch']",26 Aug 2021,Family,90,English,United States,G,6.0,,,Netflix
100,Dive Club,TV Show,,"['Miah Madden', 'Georgia-May Davis', ""Sana'a Shaik""]",03 Sep 2021,"['Adventure', 'Drama', 'Family']",1,English,Australia,TV-PG,6.3,,,Netflix
101,La casa de papel,TV Show,,"['Úrsula Corberó', 'Itziar Ituño', 'Álvaro Morte', 'Paco Tous', 'Enrique Arce', 'Pedro Alonso', 'María Pedraza', 'Alba Flores', 'Miguel Herrán', 'Jaime Lorente', 'Esther Acebo', 'Darko Peric', 'Kiti Mánver']",2021,"['Crime', 'International TV Shows', 'Spanish-Language TV Shows']",5,,Spain,TV-MA,,,,Netflix
102,Money Heist: From Tokyo to Berlin,TV Show,,"['Jesús Colmenar', 'Rodrigo De la Serna', 'Pedro Alonso']",03 Sep 2021,Documentary,2,Spanish,Spain,,7.8,,,Netflix
103,Sharkdog,TV Show,,"['Liam Mitchell', 'Dee Bradley Baker', 'Kari Wahlgren']",03 Sep 2021,"['Animation', 'Short', 'Adventure']",1,English,"['United States', 'Singapore']",TV-Y,6.3,,,Netflix
104,Worth,Movie,Sara Colangelo,"['Michael Keaton', 'Amy Ryan', 'Stanley Tucci']",03 Sep 2021,"['Biography', 'Drama', 'History']",118,English,"['United Kingdom', 'Canada', 'United States']",PG-13,6.8,81.0,67.0,Netflix
105,Afterlife of the Party,Movie,Stephen Herek,"['Victoria Justice', 'Midori Francis', 'Robyn Scott']",02 Sep 2021,"['Comedy', 'Drama', 'Fantasy']",109,English,United States,TV-PG,5.8,56.0,,Netflix
106,Anjaam,Movie,Rahul Rawail,"['Madhuri Dixit', 'Shah Rukh Khan', 'Tinnu Anand']",22 Apr 1994,"['Drama', 'Thriller']",170,Hindi,India,Not Rated,6.8,,,Netflix
107,Bright Star,Movie,Jane Campion,"['Abbie Cornish', 'Ben Whishaw', 'Paul Schneider']",09 Oct 2009,"['Biography', 'Drama', 'Romance']",119,"['English', 'French']","['United Kingdom', 'Australia', 'France']",PG,6.9,83.0,81.0,Netflix
108,Dhanak,Movie,Nagesh Kukunoor,"['Krrish Chhabria', 'Hetal Gada', 'Vipin Sharma', 'Gulfam Khan', 'Suresh Menon', 'Vijay Maurya', 'Rajiv Lakshman', 'Ninad Kamat']",2015,"['Comedy', 'Drama', 'Independent Movies']",114,,India,TV-PG,,,,Netflix
109,Final Account,Movie,Luke Holland,,21 May 2021,Documentary,94,German,"['United Kingdom', 'United States']",PG-13,7.1,93.0,76.0,Netflix
110,Gurgaon,Movie,Shanker Raman,"['Akshay Oberoi', 'Pankaj Tripathi', 'Aamir Bashir']",04 Aug 2017,"['Crime', 'Thriller']",107,Hindi,India,,6.5,85.0,,Netflix
111,Here and There,Movie,Michaël Dacheux,"['Adrien Dantou', 'César Domboy', 'Christine Leroy']",13 Oct 2011,Drama,53,French,France,,6.2,,,Netflix
112,Heroes of Goo Jit Zu,TV Show,,"['Jon Allen', 'Kellen Goff', 'Joe Hernandez']",27 Jun 2019,"['Animation', 'Action', 'Comedy']",1,English,Australia,,,,,Netflix
113,Hotel Del Luna,TV Show,,"['Ji-eun Lee', 'Yeo Jin-gu', 'Shin Jeong-geun']",13 Jul 2019,"['Drama', 'Fantasy', 'Horror']",1,Korean,South Korea,,8.2,,,Netflix
114,In the Cut,Movie,Jane Campion,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh']",31 Oct 2003,"['Mystery', 'Thriller']",119,English,"['United Kingdom', 'Australia', 'France', 'United States']",R,5.3,33.0,46.0,Netflix
115,Pororo the Little Penguin,TV Show,,"['Ham Soo-Jeong', 'So-yeong Hong', 'Mi Ja Lee']",,"['Animation', 'Family']",6,"['Korean', 'English', 'Japanese']",South Korea,TV-MA,6.1,,,Netflix
